SampleID	RAS_WSC_11_2016
d:Archaea,p:Crenarchaeota,c:Nitrososphaeria,o:Nitrosopumilales,f:Nitrosopumilaceae 	 12
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Actinomarinales,f:Actinomarinaceae 	 1
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Ilumatobacteraceae 	 3
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae 	 1
d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micrococcales,f:Microbacteriaceae 	 1
d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:PeM15,f:PeM15 	 1
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae 	 9
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group 	 3
d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Chloroplast,f:Chloroplast 	 1
d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Synechococcales,f:Cyanobiaceae 	 1
d:Bacteria,p:Desulfobacterota,c:uncultured,o:uncultured,f:uncultured 	 2
d:Bacteria,p:Gemmatimonadota,c:BD2-11_terrestrial_group,o:BD2-11_terrestrial_group,f:BD2-11_terrestrial_group 	 1
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:Marinimicrobia_(SAR406_clade),o:Marinimicrobia_(SAR406_clade),f:Marinimicrobia_(SAR406_clade) 	 1
d:Bacteria,p:Nitrospinota,c:Nitrospinia,o:Nitrospinales,f:Nitrospinaceae 	 4
d:Bacteria,p:Planctomycetota,c:OM190,o:OM190,f:OM190 	 1
d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae 	 4
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae 	 3
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Planctomycetales,f:Gimesiaceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:AT-s3-44,f:AT-s3-44 	 7
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Defluviicoccales,f:uncultured 	 15
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales,f:OCS116_clade 	 3
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales,f:Parvibaculaceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales,f:SAR116_clade 	 6
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales,f:uncultured 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae 	 23
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:AEGEAN-169_marine_group 	 45
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Magnetospiraceae 	 37
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_I 	 110
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_II 	 38
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_III 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_IV 	 3
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:uncultured 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Thalassobaculales,f:Nisaeaceae 	 19
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:uncultured,f:uncultured 	 8
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Methylophilaceae 	 14
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Nitrosomonadaceae 	 2
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:EPR3968-O8a-Bc78,f:EPR3968-O8a-Bc78 	 3
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Colwelliaceae 	 7
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ga0077536,f:Ga0077536 	 3
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Gammaproteobacteria_Incertae_Sedis,f:Unknown_Family 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:HOC36,f:HOC36 	 3
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Halieaceae 	 17
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:KI89A_clade 	 8
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Nitrincolaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:OM182_clade 	 20
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Porticoccaceae 	 22
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudohongiellaceae 	 7
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:SAR86_clade 	 99
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Thioglobaceae 	 35
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Steroidobacterales,f:Woeseiaceae 	 13
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA10353_marine_group,f:UBA10353_marine_group 	 12
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:uncultured,f:uncultured 	 5
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Arctic97B-4_marine_group,f:Arctic97B-4_marine_group 	 10
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Opitutales,f:Puniceicoccaceae 	 2
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Pedosphaerales,f:Pedosphaeraceae 	 1
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Rubritaleaceae 	 1
d:Eukaryota,p:Ciliophora,c:Intramacronucleata,o:Spirotrichea,f:Oligotrichia 	 1
d:Eukaryota,p:Protalveolata,c:Syndiniales,o:Syndiniales,f:Syndiniales_Group_I 	 1
d:Eukaryota,p:Protalveolata,c:Syndiniales,o:Syndiniales,f:Syndiniales_Group_II 	 1
